time,phase,x,y,z
0.005001,0,0.00025701,0.00025701,0.00025701
0.010001,0,0.00051398,0.00051398,0.00051398
0.015001,1,0.00094211,0.00094211,0.00094211
0.020002,1,0.0017125,0.0017125,0.0017125
0.025002,1,0.0024826,0.0024826,0.0024826
0.030002,2,0.0035938,0.0035938,0.0035938
0.035002,2,0.0048751,0.0048751,0.0048751
0.040002,3,0.0061565,0.0061565,0.0061565
0.045002,3,0.0079454,0.0079454,0.0079454
0.050001,3,0.009734,0.009734,0.009734
0.055001,4,0.011691,0.011691,0.011691
0.060002,4,0.013983,0.013983,0.013983
0.065002,4,0.016274,0.016274,0.016274
0.070002,5,0.018897,0.018897,0.018897
0.075002,5,0.021685,0.021685,0.021685
0.080001,6,0.024472,0.024472,0.024472
0.085002,6,0.02775,0.02775,0.02775
0.090001,6,0.031026,0.031026,0.031026
0.095002,7,0.034463,0.034463,0.034463
0.1,7,0.03822,0.03822,0.03822
0.105,7,0.041976,0.041976,0.041976
0.11,8,0.046045,0.046045,0.046045
0.115,8,0.050272,0.050272,0.050272
0.12,9,0.054498,0.054498,0.054498
0.125,9,0.059183,0.059183,0.059183
0.13,9,0.063866,0.063866,0.063866
0.135,10,0.068698,0.068698,0.068698
0.14,10,0.073828,0.073828,0.073828
0.145,10,0.078957,0.078957,0.078957
0.15,11,0.084373,0.084373,0.084373
0.155,11,0.089933,0.089933,0.089933
0.16,12,0.095494,0.095494,0.095494
0.165,12,0.10147,0.10147,0.10147
0.17,12,0.10745,0.10745,0.10745
0.175,13,0.11355,0.11355,0.11355
0.18,13,0.11993,0.11993,0.11993
0.185,13,0.12631,0.12631,0.12631
0.19,14,0.13294,0.13294,0.13294
0.195,14,0.13969,0.13969,0.13969
0.2,15,0.14645,0.14645,0.14645
0.205,15,0.15357,0.15357,0.15357
0.21,15,0.16069,0.16069,0.16069
0.215,16,0.16793,0.16793,0.16793
0.22,16,0.17539,0.17539,0.17539
0.225,16,0.18285,0.18285,0.18285
0.23,17,0.19053,0.19053,0.19053
0.235,17,0.19832,0.19832,0.19832
0.24,18,0.20611,0.20611,0.20611
0.245,18,0.2142,0.2142,0.2142
0.25,18,0.22229,0.22229,0.22229
0.255,19,0.23047,0.23047,0.23047
0.26,19,0.23884,0.23884,0.23884
0.265,19,0.24721,0.24721,0.24721
0.27,20,0.25575,0.25575,0.25575
0.275,20,0.26438,0.26438,0.26438
0.28,21,0.27301,0.27301,0.27301
0.285,21,0.28187,0.28187,0.28187
0.29,21,0.29073,0.29073,0.29073
0.295,22,0.29966,0.29966,0.29966
0.3,22,0.30873,0.30873,0.30873
0.305,22,0.3178,0.3178,0.3178
0.31,23,0.32699,0.32699,0.32699
0.315,23,0.33624,0.33624,0.33624
0.32,24,0.3455,0.3455,0.3455
0.325,24,0.35491,0.35491,0.35491
0.33,24,0.36432,0.36432,0.36432
0.335,25,0.37378,0.37378,0.37378
0.34,25,0.38332,0.38332,0.38332
0.345,25,0.39286,0.39286,0.39286
0.35,26,0.40248,0.40248,0.40248
0.355,26,0.41213,0.41213,0.41213
0.36,27,0.42178,0.42178,0.42178
0.365,27,0.43152,0.43152,0.43152
0.37,27,0.44125,0.44125,0.44125
0.375,28,0.451,0.451,0.451
0.38,28,0.46079,0.46079,0.46079
0.385,28,0.47057,0.47057,0.47057
0.39,29,0.48038,0.48038,0.48038
0.395,29,0.49019,0.49019,0.49019
0.4,30,0.5,0.5,0.5
0.405,30,0.50982,0.50982,0.50982
0.41,30,0.51963,0.51963,0.51963
0.415,31,0.52943,0.52943,0.52943
0.42,31,0.53922,0.53922,0.53922
0.425,31,0.549,0.549,0.549
0.43,32,0.55875,0.55875,0.55875
0.435,32,0.56849,0.56849,0.56849
0.44,33,0.57822,0.57822,0.57822
0.445,33,0.58787,0.58787,0.58787
0.45,33,0.59752,0.59752,0.59752
0.455,34,0.60714,0.60714,0.60714
0.45999,34,0.61666,0.61666,0.61666
0.465,34,0.62623,0.62623,0.62623
0.47,35,0.63569,0.63569,0.63569
0.475,35,0.6451,0.6451,0.6451
0.48,36,0.65451,0.65451,0.65451
0.485,36,0.66377,0.66377,0.66377
0.49,36,0.67302,0.67302,0.67302
0.495,37,0.68221,0.68221,0.68221
0.5,37,0.69128,0.69128,0.69128
0.505,37,0.70035,0.70035,0.70035
0.51,38,0.70928,0.70928,0.70928
0.515,38,0.71814,0.71814,0.71814
0.52,39,0.727,0.727,0.727
0.525,39,0.73562,0.73562,0.73562
0.53,39,0.74425,0.74425,0.74425
0.535,40,0.75279,0.75279,0.75279
0.54,40,0.76116,0.76116,0.76116
0.545,40,0.76953,0.76953,0.76953
0.55,41,0.77772,0.77772,0.77772
0.555,41,0.78581,0.78581,0.78581
0.56,42,0.7939,0.7939,0.7939
0.565,42,0.80168,0.80168,0.80168
0.57,42,0.80947,0.80947,0.80947
0.575,43,0.81715,0.81715,0.81715
0.58,43,0.82462,0.82462,0.82462
0.585,43,0.83208,0.83208,0.83208
0.59,44,0.83932,0.83932,0.83932
0.595,44,0.84644,0.84644,0.84644
0.6,45,0.85356,0.85356,0.85356
0.605,45,0.86031,0.86031,0.86031
0.61,45,0.86707,0.86707,0.86707
0.615,46,0.8737,0.8737,0.8737
0.62,46,0.88007,0.88007,0.88007
0.625,46,0.88645,0.88645,0.88645
0.63,47,0.89256,0.89256,0.89256
0.635,47,0.89854,0.89854,0.89854
0.64,48,0.90451,0.90451,0.90451
0.645,48,0.91007,0.91007,0.91007
0.65,48,0.91563,0.91563,0.91563
0.655,49,0.92105,0.92105,0.92105
0.66,49,0.92618,0.92618,0.92618
0.665,49,0.9313,0.9313,0.9313
0.67,50,0.93614,0.93614,0.93614
0.675,50,0.94082,0.94082,0.94082
0.68,51,0.9455,0.9455,0.9455
0.685,51,0.94973,0.94973,0.94973
0.69,51,0.95396,0.95396,0.95396
0.695,52,0.95803,0.95803,0.95803
0.7,52,0.96178,0.96178,0.96178
0.705,52,0.96554,0.96554,0.96554
0.71,53,0.96898,0.96898,0.96898
0.715,53,0.97225,0.97225,0.97225
0.72,54,0.97553,0.97553,0.97553
0.725,54,0.97832,0.97832,0.97832
0.73,54,0.9811,0.9811,0.9811
0.735,55,0.98373,0.98373,0.98373
0.74,55,0.98602,0.98602,0.98602
0.745,55,0.98831,0.98831,0.98831
0.75,56,0.99027,0.99027,0.99027
0.755,56,0.99206,0.99206,0.99206
0.76,57,0.99384,0.99384,0.99384
0.765,57,0.99513,0.99513,0.99513
0.77,57,0.99641,0.99641,0.99641
0.775,58,0.99752,0.99752,0.99752
0.78,58,0.99829,0.99829,0.99829
0.785,58,0.99906,0.99906,0.99906
0.79,59,0.99949,0.99949,0.99949
0.795,59,0.99974,0.99974,0.99974
0.8,60,1,1,1
0.805,60,0.99974,0.99974,0.99974
0.81,60,0.99949,0.99949,0.99949
0.815,61,0.99906,0.99906,0.99906
0.82,61,0.99829,0.99829,0.99829
0.825,61,0.99752,0.99752,0.99752
0.83,62,0.99641,0.99641,0.99641
0.835,62,0.99513,0.99513,0.99513
0.84,63,0.99384,0.99384,0.99384
0.845,63,0.99205,0.99205,0.99205
0.85,63,0.99027,0.99027,0.99027
0.855,64,0.98831,0.98831,0.98831
0.86,64,0.98602,0.98602,0.98602
0.865,64,0.98373,0.98373,0.98373
0.87,65,0.9811,0.9811,0.9811
0.875,65,0.97832,0.97832,0.97832
0.88,66,0.97553,0.97553,0.97553
0.885,66,0.97225,0.97225,0.97225
0.89,66,0.96897,0.96897,0.96897
0.895,67,0.96554,0.96554,0.96554
0.9,67,0.96178,0.96178,0.96178
0.905,67,0.95802,0.95802,0.95802
0.91,68,0.95395,0.95395,0.95395
0.91503,68,0.9497,0.9497,0.9497
0.92,69,0.9455,0.9455,0.9455
0.925,69,0.94082,0.94082,0.94082
0.93,69,0.93613,0.93613,0.93613
0.935,70,0.9313,0.9313,0.9313
0.94,70,0.92617,0.92617,0.92617
0.945,70,0.92104,0.92104,0.92104
0.95,71,0.91563,0.91563,0.91563
0.955,71,0.91007,0.91007,0.91007
0.96,72,0.90451,0.90451,0.90451
0.965,72,0.89853,0.89853,0.89853
0.97,72,0.89255,0.89255,0.89255
0.975,73,0.88645,0.88645,0.88645
0.98,73,0.88007,0.88007,0.88007
0.985,73,0.8737,0.8737,0.8737
0.99,74,0.86707,0.86707,0.86707
0.995,74,0.86031,0.86031,0.86031
1,75,0.85355,0.85355,0.85355
1.005,75,0.84643,0.84643,0.84643
1.01,75,0.83931,0.83931,0.83931
1.015,76,0.83208,0.83208,0.83208
1.02,76,0.82461,0.82461,0.82461
1.025,76,0.81715,0.81715,0.81715
1.03,77,0.80947,0.80947,0.80947
1.035,77,0.80168,0.80168,0.80168
1.04,78,0.79389,0.79389,0.79389
1.045,78,0.7858,0.7858,0.7858
1.05,78,0.77771,0.77771,0.77771
1.055,79,0.76953,0.76953,0.76953
1.06,79,0.76116,0.76116,0.76116
1.065,79,0.75279,0.75279,0.75279
1.07,80,0.74425,0.74425,0.74425
1.075,80,0.73562,0.73562,0.73562
1.08,81,0.72699,0.72699,0.72699
1.085,81,0.71813,0.71813,0.71813
1.09,81,0.70927,0.70927,0.70927
1.095,82,0.70034,0.70034,0.70034
1.1,82,0.69127,0.69127,0.69127
1.105,82,0.68221,0.68221,0.68221
1.11,83,0.67301,0.67301,0.67301
1.115,83,0.66376,0.66376,0.66376
1.12,84,0.6545,0.6545,0.6545
1.125,84,0.64509,0.64509,0.64509
1.13,84,0.63568,0.63568,0.63568
1.135,85,0.62622,0.62622,0.62622
1.14,85,0.61668,0.61668,0.61668
1.145,85,0.60713,0.60713,0.60713
1.15,86,0.59752,0.59752,0.59752
1.155,86,0.58787,0.58787,0.58787
1.16,87,0.57821,0.57821,0.57821
1.165,87,0.56848,0.56848,0.56848
1.17,87,0.55875,0.55875,0.55875
1.175,88,0.549,0.549,0.549
1.18,88,0.53921,0.53921,0.53921
1.185,88,0.52943,0.52943,0.52943
1.19,89,0.51962,0.51962,0.51962
1.195,89,0.50981,0.50981,0.50981
1.2,90,0.5,0.5,0.5
1.205,90,0.49018,0.49018,0.49018
1.21,90,0.48037,0.48037,0.48037
1.215,91,0.47057,0.47057,0.47057
1.22,91,0.46078,0.46078,0.46078
1.225,91,0.45099,0.45099,0.45099
1.23,92,0.44124,0.44124,0.44124
1.235,92,0.43151,0.43151,0.43151
1.24,93,0.42178,0.42178,0.42178
1.245,93,0.41213,0.41213,0.41213
1.25,93,0.40248,0.40248,0.40248
1.255,94,0.39286,0.39286,0.39286
1.26,94,0.38332,0.38332,0.38332
1.265,94,0.37377,0.37377,0.37377
1.27,95,0.36431,0.36431,0.36431
1.275,95,0.3549,0.3549,0.3549
1.28,96,0.34549,0.34549,0.34549
1.285,96,0.33623,0.33623,0.33623
